WKT,category,latitude,longitude,datazone,name
"POINT (-4.3085 55.81263)",Pavements/footpaths,55.81263,-4.3085,S01009945,Carnwadric East - 02
"POINT (-4.16307 55.87272)",Pavements/footpaths,55.87272,-4.16307,S01010169,Craigend and Ruchazie - 05
"POINT (-4.34846 55.89418)",Pavements/footpaths,55.89418,-4.34846,S01010457,Knightswood Park West - 03
"POINT (-4.23588 55.8464)",Potholes,55.8464,-4.23588,S01010040,Calton and Gallowgate - 04
"POINT (-4.24956 55.85074)",Potholes,55.85074,-4.24956,S01010034,Laurieston and Tradeston - 04
"POINT (-4.31455 55.86252)",Potholes,55.86252,-4.31455,S01009843,Govan and Linthouse - 03
"POINT (-4.33586 55.83526)",Potholes,55.83526,-4.33586,S01009799,Pollok North and East - 01
"POINT (-4.27854 55.85758)",Pavements/footpaths,55.85758,-4.27854,S01010276,Anderston - 01
"POINT (-4.2351 55.80668)",Potholes,55.80668,-4.2351,S01009980,Glenwood North - 01
"POINT (-4.21609 55.88457)",Potholes,55.88457,-4.21609,S01010201,Barmulloch - 03
"POINT (-4.26254 55.86829)",Potholes,55.86829,-4.26254,S01010269,City Centre West - 04
"POINT (-4.33267 55.87835)",Potholes,55.87835,-4.33267,S01010422,Victoria Park - 03
"POINT (-4.25588 55.85921)",Pavements/footpaths,55.85921,-4.25588,S01010275,City Centre South - 04
"POINT (-4.36312 55.82998)",Potholes,55.82998,-4.36312,S01009794,Pollok South and West - 03
"POINT (-4.28524 55.87989)",Potholes,55.87989,-4.28524,S01010372,North Kelvin - 04
"POINT (-4.27721 55.87789)",Potholes,55.87789,-4.27721,S01010307,Firhill - 07
"POINT (-4.27038 55.85691)",Potholes,55.85691,-4.27038,S01010276,Anderston - 01
"POINT (-4.36916 55.8193)",Potholes,55.8193,-4.36916,S01009797,Pollok South and West - 06
"POINT (-4.23155 55.8801)",Potholes,55.8801,-4.23155,S01010208,Petershill - 06
"POINT (-4.26293 55.84676)",Potholes,55.84676,-4.26293,S01010032,Laurieston and Tradeston - 02
"POINT (-4.25915 55.85896)",Potholes,55.85896,-4.25915,S01010275,City Centre South - 04
"POINT (-4.2565 55.86701)",Potholes,55.86701,-4.2565,S01010270,City Centre West - 05
"POINT (-4.25907 55.85852)",Potholes,55.85852,-4.25907,S01010274,City Centre South - 03
"POINT (-4.29487 55.87479)",Potholes,55.87479,-4.29487,S01010407,Dowanhill - 05
"POINT (-4.35773 55.90509)",Potholes,55.90509,-4.35773,S01010489,Drumchapel South - 02
"POINT (-4.2748 55.89801)",Potholes,55.89801,-4.2748,S01010350,Maryhill East - 01
"POINT (-4.27656 55.88762)",Potholes,55.88762,-4.27656,S01010316,Ruchill - 02
"POINT (-4.33389 55.80067)",Potholes,55.80067,-4.33389,S01009761,Darnley East - 04
"POINT (-4.25263 55.83311)",Pavements/footpaths,55.83311,-4.25263,S01009897,Govanhill East and Aikenhead - 04
"POINT (-4.25728 55.85841)",Potholes,55.85841,-4.25728,S01010275,City Centre South - 04
"POINT (-4.15462 55.87534)",Potholes,55.87534,-4.15462,S01010170,Craigend and Ruchazie - 06
"POINT (-4.13383 55.84)",Potholes,55.84,-4.13383,S01010091,Baillieston East - 04
"POINT (-4.30815 55.84719)",Potholes,55.84719,-4.30815,S01009873,Kingston West and Dumbreck - 03
"POINT (-4.37273 55.9022)",Potholes,55.9022,-4.37273,S01010486,Blairdardie West - 02
"POINT (-4.35107 55.85104)",Potholes,55.85104,-4.35107,S01009812,Cardonald North - 03
"POINT (-4.28762 55.88448)",Potholes,55.88448,-4.28762,S01010322,Ruchill - 08
"POINT (-4.1997 55.86225)",Potholes,55.86225,-4.1997,S01010152,Carntyne - 01
"POINT (-4.28485 55.84071)",Potholes,55.84071,-4.28485,S01009877,Pollokshields West - 03
"POINT (-4.27807 55.83953)",Potholes,55.83953,-4.27807,S01009912,Maxwell Park - 01
"POINT (-4.25681 55.83592)",Potholes,55.83592,-4.25681,S01009895,Govanhill East and Aikenhead - 02
"POINT (-4.26347 55.85326)",Potholes,55.85326,-4.26347,S01010032,Laurieston and Tradeston - 02
"POINT (-4.3477 55.85995)",Potholes,55.85995,-4.3477,S01009833,Drumoyne and Shieldhall - 01
"POINT (-4.27441 55.85368)",Potholes,55.85368,-4.27441,S01010031,Laurieston and Tradeston - 01
"POINT (-4.3513 55.85038)",Potholes,55.85038,-4.3513,S01009812,Cardonald North - 03
"POINT (-4.1328 55.85802)",Potholes,55.85802,-4.1328,S01010130,Barlanark - 08
"POINT (-4.36238 55.8282)",Pavements/footpaths,55.8282,-4.36238,S01009795,Pollok South and West - 04
"POINT (-4.20001 55.89791)",Pavements/footpaths,55.89791,-4.20001,S01010197,Balornock - 04
"POINT (-4.11525 55.83733)",Potholes,55.83733,-4.11525,S01010091,Baillieston East - 04
"POINT (-4.27497 55.84764)",Potholes,55.84764,-4.27497,S01009871,Kingston West and Dumbreck - 01
"POINT (-4.25834 55.824)",Potholes,55.824,-4.25834,S01010011,Mount Florida - 01
"POINT (-4.25549 55.81816)",Potholes,55.81816,-4.25549,S01010010,Cathcart - 06
"POINT (-4.27905 55.82366)",Potholes,55.82366,-4.27905,S01009928,Langside - 02
"POINT (-4.26519 55.82971)",Potholes,55.82971,-4.26519,S01009904,Battlefield - 06
"POINT (-4.23368 55.87975)",Potholes,55.87975,-4.23368,S01010223,Cowlairs and Port Dundas - 05
"POINT (-4.26903 55.84241)",Potholes,55.84241,-4.26903,S01009883,Pollokshields East - 03
"POINT (-4.26646 55.82603)",Pavements/footpaths,55.82603,-4.26646,S01009901,Battlefield - 03
"POINT (-4.29528 55.86983)",Potholes,55.86983,-4.29528,S01010384,Hillhead - 04
"POINT (-4.32156 55.87438)",Pavements/footpaths,55.87438,-4.32156,S01010394,Partick - 02
"POINT (-4.2368 55.82654)",Potholes,55.82654,-4.2368,S01010020,Toryglen and Oatlands - 05
"POINT (-4.3011 55.87731)",Pavements/footpaths,55.87731,-4.3011,S01010404,Dowanhill - 02
"POINT (-4.26175 55.8587)",Pavements/footpaths,55.8587,-4.26175,S01010273,City Centre South - 02
"POINT (-4.21903 55.81285)",Potholes,55.81285,-4.21903,S01009982,Glenwood North - 03
"POINT (-4.25196 55.88715)",Potholes,55.88715,-4.25196,S01010328,Possil Park - 06
"POINT (-4.2669 55.88453)",Pavements/footpaths,55.88453,-4.2669,S01010314,Keppochhill - 06
"POINT (-4.24126 55.78845)",Potholes,55.78845,-4.24126,S01009969,Carmunnock South - 01
"POINT (-4.34919 55.90484)",Potholes,55.90484,-4.34919,S01010478,Blairdardie East - 01
"POINT (-4.3528 55.86352)",Potholes,55.86352,-4.3528,S01009833,Drumoyne and Shieldhall - 01
"POINT (-4.30785 55.86931)",Potholes,55.86931,-4.30785,S01010386,Hillhead - 06
"POINT (-4.36064 55.88456)",Potholes,55.88456,-4.36064,S01010435,Scotstoun South and West - 04
"POINT (-4.28834 55.85282)",Pavements/footpaths,55.85282,-4.28834,S01009866,Kinning Park and Festival Park - 01
"POINT (-4.26573 55.82421)",Potholes,55.82421,-4.26573,S01009900,Battlefield - 02
"POINT (-4.2367 55.79894)",Pavements/footpaths,55.79894,-4.2367,S01009975,Glenwood South - 03
"POINT (-4.34685 55.86093)",Potholes,55.86093,-4.34685,S01009833,Drumoyne and Shieldhall - 01
"POINT (-4.24897 55.8354)",Potholes,55.8354,-4.24897,S01009898,Govanhill East and Aikenhead - 05
"POINT (-4.30288 55.86971)",Pavements/footpaths,55.86971,-4.30288,S01010386,Hillhead - 06
"POINT (-4.22617 55.80035)",Potholes,55.80035,-4.22617,S01009979,Glenwood South - 07
"POINT (-4.1612 55.84695)",Potholes,55.84695,-4.1612,S01010073,Shettleston South - 05
"POINT (-4.12591 55.8495)",Potholes,55.8495,-4.12591,S01010085,Baillieston West - 03
"POINT (-4.27424 55.85998)",Potholes,55.85998,-4.27424,S01010276,Anderston - 01
"POINT (-4.15427 55.83681)",Pavements/footpaths,55.83681,-4.15427,S01010074,Carmyle and Mount Vernon South - 01
"POINT (-4.36391 55.85625)",Potholes,55.85625,-4.36391,S01009833,Drumoyne and Shieldhall - 01
"POINT (-4.37109 55.90855)",Potholes,55.90855,-4.37109,S01010489,Drumchapel South - 02
"POINT (-4.26311 55.85409)",Potholes,55.85409,-4.26311,S01010032,Laurieston and Tradeston - 02
"POINT (-4.3731 55.90159)",Pavements/footpaths,55.90159,-4.3731,S01010486,Blairdardie West - 02
"POINT (-4.34151 55.80588)",Potholes,55.80588,-4.34151,S01009767,Darnley North - 04
"POINT (-4.29881 55.87655)",Potholes,55.87655,-4.29881,S01010374,Kelvingrove and University - 01
"POINT (-4.2998 55.89923)",Potholes,55.89923,-4.2998,S01010346,Summerston North - 01
"POINT (-4.22405 55.87722)",Potholes,55.87722,-4.22405,S01010225,Sighthill - 01
"POINT (-4.26566 55.82928)",Potholes,55.82928,-4.26566,S01009904,Battlefield - 06
"POINT (-4.3105 55.88029)",Potholes,55.88029,-4.3105,S01010403,Dowanhill - 01
"POINT (-4.32284 55.87565)",Potholes,55.87565,-4.32284,S01010394,Partick - 02
"POINT (-4.14227 55.85651)",Potholes,55.85651,-4.14227,S01010130,Barlanark - 08
"POINT (-4.21955 55.8497)",Potholes,55.8497,-4.21955,S01010053,Parkhead West and Barrowfield - 05
"POINT (-4.27476 55.84707)",Potholes,55.84707,-4.27476,S01009871,Kingston West and Dumbreck - 01
"POINT (-4.21283 55.88232)",Potholes,55.88232,-4.21283,S01010204,Petershill - 02
"POINT (-4.26239 55.82404)",Potholes,55.82404,-4.26239,S01010006,Cathcart - 02
"POINT (-4.28146 55.8529)",Potholes,55.8529,-4.28146,S01009867,Kinning Park and Festival Park - 02
"POINT (-4.26218 55.82322)",Potholes,55.82322,-4.26218,S01010006,Cathcart - 02
"POINT (-4.321 55.88907)",Potholes,55.88907,-4.321,S01010468,Anniesland East - 04
"POINT (-4.26355 55.82999)",Potholes,55.82999,-4.26355,S01009904,Battlefield - 06
"POINT (-4.36954 55.90044)",Potholes,55.90044,-4.36954,S01010486,Blairdardie West - 02
"POINT (-4.2671 55.82895)",Potholes,55.82895,-4.2671,S01009904,Battlefield - 06
"POINT (-4.36954 55.90044)",Potholes,55.90044,-4.36954,S01010486,Blairdardie West - 02
"POINT (-4.37818 55.91315)",Potholes,55.91315,-4.37818,S01010501,Drumry West - 02
"POINT (-4.12926 55.86744)",Potholes,55.86744,-4.12926,S01010114,"Garthamlock, Auchinlea and Gartloch - 02"
"POINT (-4.36498 55.81739)",Potholes,55.81739,-4.36498,S01009784,Crookston South - 01
"POINT (-4.18082 55.8613)",Potholes,55.8613,-4.18082,S01010155,Carntyne - 04
"POINT (-4.28297 55.82598)",Potholes,55.82598,-4.28297,S01009932,Langside - 06
"POINT (-4.33665 55.87393)",Pavements/footpaths,55.87393,-4.33665,S01010424,Whiteinch - 02
"POINT (-4.26319 55.85409)",Potholes,55.85409,-4.26319,S01010032,Laurieston and Tradeston - 02
"POINT (-4.26002 55.85392)",Potholes,55.85392,-4.26002,S01010032,Laurieston and Tradeston - 02
"POINT (-4.26319 55.85409)",Potholes,55.85409,-4.26319,S01010032,Laurieston and Tradeston - 02
"POINT (-4.26319 55.85409)",Potholes,55.85409,-4.26319,S01010032,Laurieston and Tradeston - 02
"POINT (-4.2737 55.83954)",Potholes,55.83954,-4.2737,S01009884,Pollokshields East - 04
"POINT (-4.22415 55.87722)",Potholes,55.87722,-4.22415,S01010225,Sighthill - 01
"POINT (-4.27377 55.83994)",Potholes,55.83994,-4.27377,S01009885,Pollokshields East - 05
"POINT (-4.19942 55.84713)",Potholes,55.84713,-4.19942,S01010068,Braidfauld - 08
"POINT (-4.36192 55.82213)",Potholes,55.82213,-4.36192,S01009797,Pollok South and West - 06
"POINT (-4.2439 55.84356)",Potholes,55.84356,-4.2439,S01010029,Gorbals and Hutchesontown - 07
"POINT (-4.28031 55.86312)",Potholes,55.86312,-4.28031,S01010283,Finnieston and Kelvinhaugh - 02
"POINT (-4.2381 55.86874)",Potholes,55.86874,-4.2381,S01010262,City Centre East - 04
"POINT (-4.3809 55.82333)",Potholes,55.82333,-4.3809,S01009793,Pollok South and West - 02
"POINT (-4.26031 55.84902)",Potholes,55.84902,-4.26031,S01010034,Laurieston and Tradeston - 04
"POINT (-4.32587 55.87332)",Potholes,55.87332,-4.32587,S01010415,Broomhill - 01
"POINT (-4.3386 55.81173)",Potholes,55.81173,-4.3386,S01009782,Nitshill - 08
"POINT (-4.33982 55.8313)",Potholes,55.8313,-4.33982,S01009799,Pollok North and East - 01
"POINT (-4.25336 55.88506)",Potholes,55.88506,-4.25336,S01010323,Possil Park - 01
"POINT (-4.33186 55.84462)",Potholes,55.84462,-4.33186,S01009806,Cardonald South and East - 01
"POINT (-4.28073 55.92369)",Potholes,55.92369,-4.28073,S01010345,Summerston Central and West - 06
"POINT (-4.21079 55.87935)",Potholes,55.87935,-4.21079,S01010207,Petershill - 05
"POINT (-4.23622 55.80719)",Potholes,55.80719,-4.23622,S01009980,Glenwood North - 01
"POINT (-4.25041 55.82033)",Potholes,55.82033,-4.25041,S01010004,Kingspark North - 06
"POINT (-4.34301 55.82397)",Pavements/footpaths,55.82397,-4.34301,S01009789,Crookston North - 02
"POINT (-4.24135 55.87719)",Pavements/footpaths,55.87719,-4.24135,S01010222,Cowlairs and Port Dundas - 04
"POINT (-4.34346 55.80634)",Potholes,55.80634,-4.34346,S01009767,Darnley North - 04
"POINT (-4.11183 55.84464)",Potholes,55.84464,-4.11183,S01010088,Baillieston East - 01
"POINT (-4.2154 55.88423)",Potholes,55.88423,-4.2154,S01010201,Barmulloch - 03
"POINT (-4.13287 55.85755)",Potholes,55.85755,-4.13287,S01010130,Barlanark - 08
"POINT (-4.21509 55.87503)",Potholes,55.87503,-4.21509,S01010225,Sighthill - 01
"POINT (-4.25523 55.83355)",Potholes,55.83355,-4.25523,S01009897,Govanhill East and Aikenhead - 04
"POINT (-4.27489 55.84655)",Potholes,55.84655,-4.27489,S01009875,Pollokshields West - 01
"POINT (-4.12817 55.86689)",Potholes,55.86689,-4.12817,S01010122,North Barlanark and Easterhouse South - 05
"POINT (-4.26634 55.82437)",Potholes,55.82437,-4.26634,S01009900,Battlefield - 02
"POINT (-4.36714 55.81776)",Potholes,55.81776,-4.36714,S01009797,Pollok South and West - 06
"POINT (-4.25584 55.81858)",Potholes,55.81858,-4.25584,S01010010,Cathcart - 06
"POINT (-4.26693 55.88359)",Potholes,55.88359,-4.26693,S01010313,Keppochhill - 05
"POINT (-4.37003 55.81859)",Potholes,55.81859,-4.37003,S01009793,Pollok South and West - 02
"POINT (-4.37158 55.81861)",Potholes,55.81861,-4.37158,S01009793,Pollok South and West - 02
